iter	Passed	Remaining
0	0	76
1	1	67
2	1	62
3	2	57
4	2	55
5	3	54
6	4	53
7	4	52
8	5	51
9	5	51
10	6	50
11	6	50
12	7	49
13	7	49
14	8	48
15	9	47
16	9	46
17	10	46
18	10	45
19	11	44
20	11	43
21	12	43
22	12	42
23	13	42
24	13	41
25	14	41
26	14	40
27	15	39
28	16	39
29	16	38
30	17	37
31	17	37
32	18	36
33	18	36
34	19	35
35	19	34
36	20	34
37	20	33
38	21	33
39	22	34
40	23	33
41	23	32
42	24	32
43	24	31
44	25	30
45	25	30
46	26	29
47	26	29
48	27	28
49	27	27
50	28	27
51	28	26
52	29	26
53	29	25
54	30	24
55	30	24
56	31	23
57	31	23
58	32	22
59	32	21
60	33	21
61	33	20
62	34	20
63	35	19
64	35	19
65	36	18
66	36	18
67	37	17
68	37	16
69	38	16
70	38	15
71	39	15
72	39	14
73	40	14
74	40	13
75	41	13
76	41	12
77	42	11
78	42	11
79	43	10
80	44	10
81	44	9
82	45	9
83	45	8
84	46	8
85	46	7
86	47	7
87	48	6
88	49	6
89	49	5
90	50	4
91	51	4
92	51	3
93	52	3
94	52	2
95	53	2
96	54	1
97	54	1
98	54	0
99	55	0
